actor_id,name,birth_date,country
1,Actor_1,1960-12-31,Canada
2,Actor_2,1962-12-31,UK
3,Actor_3,1964-12-31,UK
4,Actor_4,1966-12-31,UK
5,Actor_5,1968-12-31,India
6,Actor_6,1970-12-31,USA
7,Actor_7,1972-12-31,India
8,Actor_8,1974-12-31,Australia
9,Actor_9,1976-12-31,USA
10,Actor_10,1978-12-31,Australia
11,Actor_11,1980-12-31,USA
12,Actor_12,1982-12-31,India
13,Actor_13,1984-12-31,UK
14,Actor_14,1986-12-31,Canada
15,Actor_15,1988-12-31,UK
16,Actor_16,1990-12-31,India
17,Actor_17,1992-12-31,USA
18,Actor_18,1994-12-31,UK
19,Actor_19,1996-12-31,India
20,Actor_20,1998-12-31,Australia
21,Actor_21,2000-12-31,Canada
22,Actor_22,2002-12-31,UK
23,Actor_23,2004-12-31,USA
24,Actor_24,2006-12-31,Australia
25,Actor_25,2008-12-31,India
26,Actor_26,2010-12-31,Canada
27,Actor_27,2012-12-31,USA
28,Actor_28,2014-12-31,India
29,Actor_29,2016-12-31,India
30,Actor_30,2018-12-31,UK
